"iso3","year","bcg_coverage"
"AFG",2015,76
"AGO",2015,64
"ALB",2015,99
"ARE",2015,96
"ARG",2015,96
"ARM",2015,99
"AZE",2015,98
"BDI",2015,93
"BEN",2015,96
"BFA",2015,98
"BGD",2015,99
"BGR",2015,96
"BIH",2015,95
"BLR",2015,97
"BLZ",2015,98
"BOL",2015,99
"BRA",2015,99
"BRN",2015,99
"BTN",2015,99
"BWA",2015,98
"CAF",2015,64
"CHL",2015,93
"CHN",2015,99
"CIV",2015,80
"CMR",2015,83
"COD",2015,79
"COG",2015,85
"COK",2015,99
"COL",2015,90
"COM",2015,94
"CPV",2015,94
"CRI",2015,99
"CUB",2015,99
"DJI",2015,92
"DMA",2015,98
"DOM",2015,99
"DZA",2015,99
"ECU",2015,88
"EGY",2015,96
"ERI",2015,97
"EST",2015,95
"ETH",2015,70
"FJI",2015,99
"FSM",2015,76
"GAB",2015,98
"GEO",2015,96
"GHA",2015,97
"GIN",2015,72
"GMB",2015,98
"GNB",2015,92
"GNQ",2015,77
"GTM",2015,92
"GUY",2015,99
"HND",2015,94
"HRV",2015,98
"HTI",2015,83
"HUN",2015,99
"IDN",2015,90
"IND",2015,87
"IRL",2015,77
"IRN",2015,99
"IRQ",2015,94
"JAM",2015,99
"JOR",2015,98
"JPN",2015,84
"KAZ",2015,95
"KEN",2015,87
"KGZ",2015,97
"KHM",2015,99
"KIR",2015,79
"KNA",2015,95
"KOR",2015,97
"KWT",2015,99
"LAO",2015,89
"LBR",2015,74
"LBY",2015,99
"LCA",2015,99
"LKA",2015,99
"LSO",2015,95
"LTU",2015,97
"LVA",2015,93
"MAR",2015,99
"MDA",2015,97
"MDG",2015,56
"MDV",2015,99
"MEX",2015,98
"MHL",2015,99
"MKD",2015,94
"MLI",2015,78
"MMR",2015,94
"MNE",2015,88
"MNG",2015,99
"MOZ",2015,94
"MRT",2015,85
"MUS",2015,98
"MWI",2015,90
"MYS",2015,99
"NAM",2015,94
"NER",2015,94
"NGA",2015,53
"NIC",2015,99
"NIU",2015,99
"NPL",2015,94
"NRU",2015,99
"OMN",2015,99
"PAK",2015,86
"PAN",2015,99
"PER",2015,91
"PHL",2015,85
"PNG",2015,67
"POL",2015,94
"PRK",2015,97
"PRT",2015,32
"PRY",2015,96
"PSE",2015,99
"QAT",2015,97
"ROU",2015,98
"RUS",2015,96
"RWA",2015,99
"SAU",2015,98
"SDN",2015,88
"SEN",2015,95
"SGP",2015,99
"SLB",2015,79
"SLE",2015,90
"SLV",2015,99
"SOM",2015,37
"SRB",2015,98
"SSD",2015,55
"STP",2015,97
"SWE",2015,24
"SWZ",2015,98
"SYC",2015,99
"SYR",2015,66
"TCD",2015,70
"TGO",2015,93
"THA",2015,99
"TJK",2015,98
"TKM",2015,99
"TLS",2015,79
"TON",2015,91
"TUN",2015,97
"TUR",2015,96
"TUV",2015,99
"TZA",2015,97
"UGA",2015,95
"UKR",2015,39
"URY",2015,98
"UZB",2015,99
"VCT",2015,99
"VEN",2015,99
"VNM",2015,97
"VUT",2015,95
"WSM",2015,86
"YEM",2015,47
"ZAF",2015,83
"ZMB",2015,97
"ZWE",2015,90
"AFG",2016,78
"AGO",2016,40
"ALB",2016,99
"ARE",2016,99
"ARG",2016,92
"ARM",2016,99
"AZE",2016,98
"BDI",2016,93
"BEN",2016,88
"BFA",2016,98
"BGD",2016,99
"BGR",2016,96
"BIH",2016,97
"BLR",2016,98
"BLZ",2016,94
"BOL",2016,96
"BRA",2016,90
"BRN",2016,99
"BTN",2016,99
"BWA",2016,98
"CAF",2016,61
"CHL",2016,97
"CHN",2016,99
"CIV",2016,95
"CMR",2016,84
"COD",2016,83
"COG",2016,80
"COK",2016,99
"COL",2016,88
"COM",2016,94
"CPV",2016,96
"CRI",2016,99
"CUB",2016,99
"DJI",2016,90
"DMA",2016,98
"DOM",2016,99
"DZA",2016,99
"ECU",2016,84
"EGY",2016,96
"ERI",2016,97
"EST",2016,95
"ETH",2016,72
"FJI",2016,99
"FSM",2016,85
"GAB",2016,94
"GEO",2016,98
"GHA",2016,94
"GIN",2016,73
"GMB",2016,98
"GNB",2016,91
"GNQ",2016,85
"GTM",2016,91
"GUY",2016,95
"HND",2016,93
"HRV",2016,99
"HTI",2016,83
"HUN",2016,99
"IDN",2016,90
"IND",2016,89
"IRL",2016,18
"IRN",2016,99
"IRQ",2016,87
"JAM",2016,96
"JOR",2016,99
"JPN",2016,98
"KAZ",2016,95
"KEN",2016,99
"KGZ",2016,97
"KHM",2016,99
"KIR",2016,79
"KNA",2016,96
"KOR",2016,98
"KWT",2016,96
"LAO",2016,89
"LBR",2016,81
"LBY",2016,99
"LCA",2016,96
"LKA",2016,99
"LSO",2016,96
"LTU",2016,98
"LVA",2016,96
"MAR",2016,99
"MDA",2016,97
"MDG",2016,74
"MDV",2016,99
"MEX",2016,99
"MHL",2016,94
"MKD",2016,99
"MLI",2016,82
"MMR",2016,88
"MNE",2016,85
"MNG",2016,99
"MOZ",2016,94
"MRT",2016,86
"MUS",2016,98
"MWI",2016,86
"MYS",2016,99
"NAM",2016,89
"NER",2016,91
"NGA",2016,64
"NIC",2016,99
"NIU",2016,92
"NPL",2016,93
"NRU",2016,99
"OMN",2016,99
"PAK",2016,86
"PAN",2016,99
"PER",2016,90
"PHL",2016,90
"PNG",2016,72
"POL",2016,93
"PRK",2016,97
"PRY",2016,94
"PSE",2016,99
"QAT",2016,97
"ROU",2016,84
"RUS",2016,96
"RWA",2016,99
"SAU",2016,98
"SDN",2016,96
"SEN",2016,97
"SGP",2016,99
"SLB",2016,80
"SLE",2016,92
"SLV",2016,87
"SOM",2016,37
"SRB",2016,98
"SSD",2016,52
"STP",2016,92
"SWE",2016,26
"SWZ",2016,97
"SYC",2016,99
"SYR",2016,72
"TCD",2016,59
"TGO",2016,93
"THA",2016,99
"TJK",2016,98
"TKM",2016,98
"TLS",2016,86
"TON",2016,91
"TUN",2016,95
"TUR",2016,96
"TUV",2016,99
"TZA",2016,95
"UGA",2016,94
"UKR",2016,75
"URY",2016,98
"UZB",2016,99
"VCT",2016,99
"VEN",2016,97
"VNM",2016,95
"VUT",2016,94
"WSM",2016,81
"YEM",2016,73
"ZAF",2016,79
"ZMB",2016,99
"ZWE",2016,95
"AFG",2017,84
"AGO",2017,69
"ALB",2017,99
"ARE",2017,95
"ARG",2017,95
"ARM",2017,99
"AZE",2017,97
"BDI",2017,92
"BEN",2017,88
"BFA",2017,98
"BGD",2017,99
"BGR",2017,96
"BIH",2017,97
"BLR",2017,98
"BLZ",2017,90
"BOL",2017,93
"BRA",2017,91
"BRN",2017,99
"BTN",2017,99
"BWA",2017,98
"CAF",2017,61
"CHL",2017,96
"CHN",2017,99
"CIV",2017,93
"CMR",2017,87
"COD",2017,85
"COG",2017,76
"COK",2017,99
"COL",2017,91
"COM",2017,94
"CPV",2017,98
"CRI",2017,99
"CUB",2017,99
"DJI",2017,92
"DMA",2017,97
"DOM",2017,99
"DZA",2017,99
"ECU",2017,88
"EGY",2017,86
"ERI",2017,97
"EST",2017,94
"ETH",2017,73
"FJI",2017,99
"FSM",2017,83
"GAB",2017,93
"GEO",2017,96
"GHA",2017,99
"GIN",2017,73
"GMB",2017,94
"GNB",2017,87
"GNQ",2017,85
"GTM",2017,93
"GUY",2017,97
"HND",2017,92
"HRV",2017,98
"HTI",2017,83
"HUN",2017,99
"IDN",2017,93
"IND",2017,92
"IRL",2017,0
"IRN",2017,99
"IRQ",2017,92
"JAM",2017,93
"JOR",2017,99
"JPN",2017,93
"KAZ",2017,95
"KEN",2017,89
"KGZ",2017,97
"KHM",2017,99
"KIR",2017,89
"KNA",2017,97
"KOR",2017,98
"KWT",2017,99
"LAO",2017,91
"LBR",2017,87
"LBY",2017,99
"LCA",2017,88
"LKA",2017,99
"LSO",2017,96
"LTU",2017,97
"LVA",2017,96
"MAR",2017,99
"MDA",2017,96
"MDG",2017,74
"MDV",2017,99
"MEX",2017,94
"MHL",2017,92
"MKD",2017,97
"MLI",2017,83
"MMR",2017,91
"MNE",2017,83
"MNG",2017,99
"MOZ",2017,94
"MRT",2017,88
"MUS",2017,99
"MWI",2017,89
"MYS",2017,98
"NAM",2017,94
"NER",2017,92
"NGA",2017,67
"NIC",2017,99
"NIU",2017,99
"NPL",2017,95
"NRU",2017,99
"OMN",2017,99
"PAK",2017,86
"PAN",2017,99
"PER",2017,84
"PHL",2017,83
"PNG",2017,62
"POL",2017,92
"PRK",2017,98
"PRY",2017,96
"PSE",2017,99
"QAT",2017,99
"ROU",2017,97
"RUS",2017,95
"RWA",2017,98
"SAU",2017,97
"SDN",2017,97
"SEN",2017,99
"SGP",2017,99
"SLB",2017,78
"SLE",2017,90
"SLV",2017,83
"SOM",2017,37
"SRB",2017,97
"SSD",2017,52
"STP",2017,94
"SWE",2017,25
"SWZ",2017,98
"SYC",2017,99
"SYR",2017,78
"TCD",2017,59
"TGO",2017,89
"THA",2017,99
"TJK",2017,98
"TKM",2017,98
"TLS",2017,95
"TON",2017,99
"TUN",2017,91
"TUR",2017,93
"TUV",2017,99
"TZA",2017,93
"UGA",2017,89
"UKR",2017,84
"URY",2017,98
"UZB",2017,99
"VCT",2017,99
"VEN",2017,94
"VNM",2017,97
"VUT",2017,95
"WSM",2017,89
"YEM",2017,66
"ZAF",2017,75
"ZMB",2017,99
"ZWE",2017,95
"AFG",2018,89
